Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,2e-25,100.00,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFR4487111.1?report=genbank&log$=prottop&blast_rank=11&RID=1W6HPFAE013"",""MFR4487111.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,98.6,98.6,100%,2e-25,100.00,65,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAX1739483.1?report=genbank&log$=prottop&blast_rank=12&RID=1W6HPFAE013"",""HAX1739483.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.0,99.0,100%,2e-25,100.00,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAJ3665061.1?report=genbank&log$=prottop&blast_rank=13&RID=1W6HPFAE013"",""HAJ3665061.1"")"
transcription/translation regulatory transformer protein RfaH [Vibrio parahaemolyticus],Vibrio parahaemolyticus,98.6,98.6,100%,2e-25,100.00,64,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCA6691894.1?report=genbank&log$=prottop&blast_rank=14&RID=1W6HPFAE013"",""MCA6691894.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.0,99.0,100%,2e-25,100.00,70,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBZ8700836.1?report=genbank&log$=prottop&blast_rank=15&RID=1W6HPFAE013"",""MBZ8700836.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,98.6,98.6,100%,2e-25,100.00,62,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCN4506818.1?report=genbank&log$=prottop&blast_rank=16&RID=1W6HPFAE013"",""MCN4506818.1"")"
transcriptional activator [Escherichia coli],Escherichia coli,98.6,98.6,100%,2e-25,100.00,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/STN86452.1?report=genbank&log$=prottop&blast_rank=17&RID=1W6HPFAE013"",""STN86452.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,3e-25,100.00,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBO9150284.1?report=genbank&log$=prottop&blast_rank=18&RID=1W6HPFAE013"",""MBO9150284.1"")"
transcription/translation regulatory transformer protein RfaH [Bacteroides thetaiotaomicron],Bacteroides thetaiotaomicron,98.2,98.2,100%,3e-25,100.00,57,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL3921615.1?report=genbank&log$=prottop&blast_rank=19&RID=1W6HPFAE013"",""MBL3921615.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Escherichia coli]",Escherichia coli,98.6,98.6,100%,3e-25,100.00,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAB0081965.1?report=genbank&log$=prottop&blast_rank=20&RID=1W6HPFAE013"",""KAB0081965.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Shigella flexneri]",Shigella flexneri,98.2,98.2,100%,3e-25,100.00,59,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PQO01946.1?report=genbank&log$=prottop&blast_rank=21&RID=1W6HPFAE013"",""PQO01946.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,3e-25,100.00,89,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOA1736975.1?report=genbank&log$=prottop&blast_rank=22&RID=1W6HPFAE013"",""EOA1736975.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,98.6,98.6,100%,3e-25,100.00,63,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ8702358.1?report=genbank&log$=prottop&blast_rank=23&RID=1W6HPFAE013"",""MCJ8702358.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,98.2,98.2,100%,3e-25,100.00,48,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MWM22370.1?report=genbank&log$=prottop&blast_rank=24&RID=1W6HPFAE013"",""MWM22370.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,98.2,98.2,100%,3e-25,100.00,59,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE9808969.1?report=genbank&log$=prottop&blast_rank=25&RID=1W6HPFAE013"",""MBE9808969.1"")"
"Chain A, Transcriptional activator rfaH [Escherichia coli O157:H7]",Escherichia coli O157:H7,98.6,98.6,100%,3e-25,100.00,66,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/2LCL_A?report=genbank&log$=prottop&blast_rank=26&RID=1W6HPFAE013"",""2LCL_A"")"
transcription/translation regulatory transformer protein RfaH [Shigella sonnei],Shigella sonnei,97.8,97.8,100%,3e-25,100.00,49,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDD0440465.1?report=genbank&log$=prottop&blast_rank=27&RID=1W6HPFAE013"",""MDD0440465.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Escherichia coli]",Escherichia coli,99.4,99.4,100%,3e-25,100.00,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_413180789.1?report=genbank&log$=prottop&blast_rank=28&RID=1W6HPFAE013"",""WP_413180789.1"")"
transcriptional activator [Escherichia coli],Escherichia coli,99.8,99.8,100%,3e-25,100.00,106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/STG51589.1?report=genbank&log$=prottop&blast_rank=29&RID=1W6HPFAE013"",""STG51589.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,97.8,97.8,100%,3e-25,100.00,52,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFE3250717.1?report=genbank&log$=prottop&blast_rank=30&RID=1W6HPFAE013"",""HFE3250717.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,3e-25,100.00,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDI6043405.1?report=genbank&log$=prottop&blast_rank=31&RID=1W6HPFAE013"",""HDI6043405.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Escherichia coli]",Escherichia coli,99.4,99.4,100%,4e-25,100.00,101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_222692970.1?report=genbank&log$=prottop&blast_rank=32&RID=1W6HPFAE013"",""WP_222692970.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,4e-25,100.00,104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBB3831139.1?report=genbank&log$=prottop&blast_rank=33&RID=1W6HPFAE013"",""HBB3831139.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Escherichia coli]",Escherichia coli,99.4,99.4,100%,4e-25,100.00,106,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069200633.1?report=genbank&log$=prottop&blast_rank=34&RID=1W6HPFAE013"",""WP_069200633.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,5e-25,100.00,109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBN2722492.1?report=genbank&log$=prottop&blast_rank=35&RID=1W6HPFAE013"",""HBN2722492.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,5e-25,100.00,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBI7922653.1?report=genbank&log$=prottop&blast_rank=36&RID=1W6HPFAE013"",""HBI7922653.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,5e-25,100.00,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBI0831994.1?report=genbank&log$=prottop&blast_rank=37&RID=1W6HPFAE013"",""MBI0831994.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,6e-25,100.00,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBA1842994.1?report=genbank&log$=prottop&blast_rank=38&RID=1W6HPFAE013"",""MBA1842994.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.0,99.0,100%,6e-25,100.00,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBS8849254.1?report=genbank&log$=prottop&blast_rank=39&RID=1W6HPFAE013"",""MBS8849254.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Escherichia coli]",Escherichia coli,99.4,99.4,100%,6e-25,100.00,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_247167517.1?report=genbank&log$=prottop&blast_rank=40&RID=1W6HPFAE013"",""WP_247167517.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Escherichia coli]",Escherichia coli,99.4,99.4,100%,6e-25,100.00,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_263095316.1?report=genbank&log$=prottop&blast_rank=41&RID=1W6HPFAE013"",""WP_263095316.1"")"
transcriptional activator RfaH [Shigella dysenteriae 155-74],Shigella dysenteriae 155-74,99.4,99.4,100%,7e-25,100.00,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGI90191.1?report=genbank&log$=prottop&blast_rank=42&RID=1W6HPFAE013"",""EGI90191.1"")"
transcriptional activator RfaH [Shigella flexneri 2930-71],Shigella flexneri 2930-71,99.4,99.4,100%,7e-25,100.00,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGJ94550.1?report=genbank&log$=prottop&blast_rank=43&RID=1W6HPFAE013"",""EGJ94550.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Escherichia coli]",Escherichia coli,99.4,99.4,100%,8e-25,100.00,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_373360510.1?report=genbank&log$=prottop&blast_rank=44&RID=1W6HPFAE013"",""WP_373360510.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,8e-25,100.00,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDN5184982.1?report=genbank&log$=prottop&blast_rank=45&RID=1W6HPFAE013"",""MDN5184982.1"")"
transcriptional activator RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,8e-25,100.00,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVJ71256.1?report=genbank&log$=prottop&blast_rank=46&RID=1W6HPFAE013"",""AVJ71256.1"")"
transcriptional activator RfaH [Escherichia coli DEC1C],Escherichia coli DEC1C,99.4,99.4,100%,8e-25,100.00,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EHU04088.1?report=genbank&log$=prottop&blast_rank=47&RID=1W6HPFAE013"",""EHU04088.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.0,99.0,100%,8e-25,100.00,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEA0954133.1?report=genbank&log$=prottop&blast_rank=48&RID=1W6HPFAE013"",""HEA0954133.1"")"
transcriptional activator RfaH [Escherichia coli G58-1],Escherichia coli G58-1,99.4,99.4,100%,9e-25,100.00,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGX01709.1?report=genbank&log$=prottop&blast_rank=49&RID=1W6HPFAE013"",""EGX01709.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,9e-25,100.00,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EGM8503337.1?report=genbank&log$=prottop&blast_rank=50&RID=1W6HPFAE013"",""EGM8503337.1"")"
"transcription/translation regulatory transformer protein RfaH, partial [Escherichia coli]",Escherichia coli,99.4,99.4,100%,9e-25,100.00,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069192031.1?report=genbank&log$=prottop&blast_rank=51&RID=1W6HPFAE013"",""WP_069192031.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.0,99.0,100%,9e-25,100.00,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MWR17473.1?report=genbank&log$=prottop&blast_rank=52&RID=1W6HPFAE013"",""MWR17473.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,100,100,100%,9e-25,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEZ6857361.1?report=genbank&log$=prottop&blast_rank=53&RID=1W6HPFAE013"",""MEZ6857361.1"")"
Transcriptional activator RfaH [Shigella sonnei],Shigella sonnei,99.4,99.4,100%,9e-25,100.00,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ALZ58140.1?report=genbank&log$=prottop&blast_rank=54&RID=1W6HPFAE013"",""ALZ58140.1"")"
Transcription antitermination protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,9e-25,100.00,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/VDL20104.1?report=genbank&log$=prottop&blast_rank=55&RID=1W6HPFAE013"",""VDL20104.1"")"
transcription antitermination protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,9e-25,100.00,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BDY98780.1?report=genbank&log$=prottop&blast_rank=56&RID=1W6HPFAE013"",""BDY98780.1"")"
transcriptional activator RfaH [Shigella sonnei 53G],Shigella sonnei 53G,99.4,99.4,100%,9e-25,100.00,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFZ53303.1?report=genbank&log$=prottop&blast_rank=57&RID=1W6HPFAE013"",""EFZ53303.1"")"
transcriptional activator RfaH [Shigella dysenteriae 1617],Shigella dysenteriae 1617,99.4,99.4,100%,1e-24,100.00,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFP73134.1?report=genbank&log$=prottop&blast_rank=58&RID=1W6HPFAE013"",""EFP73134.1"")"
transcriptional activator RfaH [Escherichia coli 2362-75],Escherichia coli 2362-75,99.4,99.4,100%,1e-24,100.00,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFR13878.1?report=genbank&log$=prottop&blast_rank=59&RID=1W6HPFAE013"",""EFR13878.1"")"
transcription/translation regulatory transformer protein RfaH [Shigella flexneri],Shigella flexneri,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UMV06754.1?report=genbank&log$=prottop&blast_rank=60&RID=1W6HPFAE013"",""UMV06754.1"")"
transcriptional activator RfaH [Escherichia coli p0305293.8],Escherichia coli p0305293.8,99.0,99.0,100%,1e-24,100.00,137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ENG68502.1?report=genbank&log$=prottop&blast_rank=61&RID=1W6HPFAE013"",""ENG68502.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBW6086576.1?report=genbank&log$=prottop&blast_rank=62&RID=1W6HPFAE013"",""MBW6086576.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NYY74834.1?report=genbank&log$=prottop&blast_rank=63&RID=1W6HPFAE013"",""NYY74834.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_218076972.1?report=genbank&log$=prottop&blast_rank=64&RID=1W6HPFAE013"",""WP_218076972.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_310985184.1?report=genbank&log$=prottop&blast_rank=65&RID=1W6HPFAE013"",""WP_310985184.1"")"
transcription/translation regulatory transformer protein RfaH [Klebsiella pneumoniae],Klebsiella pneumoniae,96.7,96.7,100%,1e-24,97.92,66,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBK0621075.1?report=genbank&log$=prottop&blast_rank=66&RID=1W6HPFAE013"",""MBK0621075.1"")"
transcription/translation regulatory transformer protein RfaH [Shigella sonnei],Shigella sonnei,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_128271229.1?report=genbank&log$=prottop&blast_rank=67&RID=1W6HPFAE013"",""WP_128271229.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EEY3927193.1?report=genbank&log$=prottop&blast_rank=68&RID=1W6HPFAE013"",""EEY3927193.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBB9825267.1?report=genbank&log$=prottop&blast_rank=69&RID=1W6HPFAE013"",""MBB9825267.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EKJ2718400.1?report=genbank&log$=prottop&blast_rank=70&RID=1W6HPFAE013"",""EKJ2718400.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HDJ9156641.1?report=genbank&log$=prottop&blast_rank=71&RID=1W6HPFAE013"",""HDJ9156641.1"")"
transcription/translation regulatory transformer protein RfaH [Shigella flexneri],Shigella flexneri,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XPE54586.1?report=genbank&log$=prottop&blast_rank=72&RID=1W6HPFAE013"",""XPE54586.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XIY79500.1?report=genbank&log$=prottop&blast_rank=73&RID=1W6HPFAE013"",""XIY79500.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063267903.1?report=genbank&log$=prottop&blast_rank=74&RID=1W6HPFAE013"",""WP_063267903.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QKV12981.1?report=genbank&log$=prottop&blast_rank=75&RID=1W6HPFAE013"",""QKV12981.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia albertii],Escherichia albertii,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124782742.1?report=genbank&log$=prottop&blast_rank=76&RID=1W6HPFAE013"",""WP_124782742.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_078177577.1?report=genbank&log$=prottop&blast_rank=77&RID=1W6HPFAE013"",""WP_078177577.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFU3395004.1?report=genbank&log$=prottop&blast_rank=78&RID=1W6HPFAE013"",""HFU3395004.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia sp. E2748],Escherichia sp. E2748,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_135493193.1?report=genbank&log$=prottop&blast_rank=79&RID=1W6HPFAE013"",""WP_135493193.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBB4761701.1?report=genbank&log$=prottop&blast_rank=80&RID=1W6HPFAE013"",""HBB4761701.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.4,99.4,100%,1e-24,100.00,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGB9875613.1?report=genbank&log$=prottop&blast_rank=81&RID=1W6HPFAE013"",""HGB9875613.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHG9482799.1?report=genbank&log$=prottop&blast_rank=82&RID=1W6HPFAE013"",""HHG9482799.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HAO3048179.1?report=genbank&log$=prottop&blast_rank=83&RID=1W6HPFAE013"",""HAO3048179.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCL7166467.1?report=genbank&log$=prottop&blast_rank=84&RID=1W6HPFAE013"",""MCL7166467.1"")"
transcription/translation regulatory transformer protein RfaH [Shigella flexneri],Shigella flexneri,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFZ5938987.1?report=genbank&log$=prottop&blast_rank=85&RID=1W6HPFAE013"",""EFZ5938987.1"")"
transcription/translation regulatory transformer protein RfaH [Shigella flexneri],Shigella flexneri,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EHG9979216.1?report=genbank&log$=prottop&blast_rank=86&RID=1W6HPFAE013"",""EHG9979216.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFK0179013.1?report=genbank&log$=prottop&blast_rank=87&RID=1W6HPFAE013"",""EFK0179013.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBB0695252.1?report=genbank&log$=prottop&blast_rank=88&RID=1W6HPFAE013"",""MBB0695252.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGX1886818.1?report=genbank&log$=prottop&blast_rank=89&RID=1W6HPFAE013"",""HGX1886818.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBB9274565.1?report=genbank&log$=prottop&blast_rank=90&RID=1W6HPFAE013"",""MBB9274565.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCV2144814.1?report=genbank&log$=prottop&blast_rank=91&RID=1W6HPFAE013"",""MCV2144814.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_064186743.1?report=genbank&log$=prottop&blast_rank=92&RID=1W6HPFAE013"",""WP_064186743.1"")"
transcription/translation regulatory transformer protein RfaH [Escherichia coli],Escherichia coli,99.8,99.8,100%,1e-24,100.00,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_160371568.1?report=genbank&log$=prottop&blast_rank=93&RID=1W6HPFAE013"",""WP_160371568.1"")"
